yyyymm,equity_premium,b/m,tbl,ntis,infl,ltr,svar,dp,dy,ep,tms,dfy,dfr
195702,0.003510094,0.584994189,0.031,0.030009692,0.0036166,0.0025,0.00105604,-3.217184007,-3.250376415,-2.542474056,0.0018,0.008,0.0057
195703,0.055361985,0.599818875,0.0308,0.026428794,0.0024038,-0.0024,0.000329035,-3.238565106,-3.219107012,-2.562911082,0.0023,0.0077,0.0058
195704,0.070853085,0.57609839,0.0307,0.027243612,0.003595,-0.0222,0.000300085,-3.27485178,-3.238565106,-2.597237914,0.0038,0.0077,0.006
195705,0.069557096,0.56403858,0.0306,0.028687432,0.0023895,-0.0023,0.000480395,-3.311133531,-3.27485178,-2.631566586,0.0042,0.0078,0.0068
195706,0.031862428,0.565876532,0.0329,0.030364062,0.0059489,-0.018,0.000576127,-3.309867708,-3.311133531,-2.628348566,0.0032,0.0072,0.0062
195707,0.04437594,0.560056635,0.0316,0.03219515,0.0047337,-0.0041,0.000552645,-3.315439138,-3.304104004,-2.634821272,0.0049,0.0074,0.0083
195708,-0.022623484,0.588004542,0.0337,0.035689508,0.0011799,0.0002,0.002140337,-3.251923679,-3.309708463,-2.572200484,0.003,0.0072,0.0073
195709,-0.026208936,0.624150778,0.0353,0.034165276,0.0011786,0.0076,0.001514887,-3.18230614,-3.246225658,-2.503465355,0.0011,0.0081,0.0059
195710,0.006635509,0.645746418,0.0358,0.038209898,0,-0.005,0.004928572,-3.144054865,-3.176640403,-2.480531432,0.0011,0.0089,0.0052
195711,0.054968193,0.633071776,0.0331,0.04079069,0.0035273,0.0533,0.003480008,-3.154367266,-3.138421047,-2.506226266,0.0009,0.0101,0.0077
195712,-0.001096207,0.653675779,0.0304,0.034661177,0,0.0307,0.001247335,-3.106413803,-3.14876501,-2.473716678,0.0019,0.0122,0.0077
195801,0.08171489,0.632860762,0.0244,0.029835074,0.0058514,-0.0084,0.000785903,-3.152018726,-3.11014702,-2.538601918,0.0086,0.0123,0.0116
195802,0.020469362,0.647390435,0.0153,0.027677668,0.0011662,0.01,0.000732359,-3.134921168,-3.155760303,-2.54131533,0.0172,0.0107,0.0206
195803,0.070485389,0.668591638,0.013,0.028858444,0.0069687,0.0102,0.00051866,-3.169068194,-3.138682447,-2.595824941,0.0191,0.0105,0.0233
195804,0.070034004,0.655245031,0.0113,0.026971577,0.0023121,0.0186,0.000743691,-3.207960704,-3.176627769,-2.649703114,0.0198,0.0107,0.0247
195805,0.052872547,0.645558677,0.0091,0.022819262,0,0.0001,0.000432123,-3.230435922,-3.215583598,-2.687620711,0.0222,0.0105,0.0266
195806,0.062584434,0.62466017,0.0083,0.021374088,0.0011541,-0.016,0.000437919,-3.263860243,-3.238111591,-2.736979228,0.0241,0.0098,0.0274
195807,0.077446326,0.593848784,0.0091,0.016895171,0.0011527,-0.0278,0.000694856,-3.306060597,-3.263860243,-2.784885249,0.0252,0.0086,0.0276
195808,0.045978208,0.587263826,0.0169,0.015042651,-0.0011527,-0.0435,0.00058799,-3.317857658,-3.306060597,-2.802417266,0.0202,0.0082,0.0216
195809,0.07918468,0.561371197,0.0244,0.013966461,0,-0.0117,0.000509191,-3.365100877,-3.317857658,-2.855431992,0.0136,0.0078,0.0165
195810,0.056135095,0.549869298,0.0263,0.012260988,0,0.0138,0.000791424,-3.38630589,-3.3612528,-2.8793295,0.0111,0.0081,0.0148
195811,0.052610882,0.535823198,0.0267,0.011494295,0.0011527,0.012,0.001529957,-3.404635067,-3.382478299,-2.900328556,0.0101,0.0078,0.0142
195812,0.079608789,0.51177932,0.0277,0.023636454,-0.0011527,-0.0181,0.000713238,-3.451528308,-3.400816357,-2.949887594,0.0105,0.0077,0.0131
195901,0.032651852,0.502895818,0.0282,0.027675384,0.0011527,-0.008,0.000583163,-3.451520568,-3.447724125,-2.928626903,0.0126,0.0075,0.013
